"site","date","pm2.5"
"liverpool","29/08/1996",NA
"chullora","29/08/1996",NA
"richmond","29/08/1996",2.2
"liverpool","30/08/1996",NA
"richmond","30/08/1996",0.7
"chullora","30/08/1996",NA
"earlwood","30/08/1996",NA
"liverpool","31/08/1996",NA
"earlwood","31/08/1996",NA
"richmond","31/08/1996",NA
"chullora","31/08/1996",NA
"liverpool","01/09/1996",NA
"richmond","01/09/1996",1.2
"chullora","01/09/1996",NA
"earlwood","01/09/1996",NA
"liverpool","02/09/1996",NA
"richmond","02/09/1996",0.5
"chullora","02/09/1996",NA
"earlwood","02/09/1996",NA
"liverpool","03/09/1996",NA
"richmond","03/09/1996",2.1
"chullora","03/09/1996",NA
"earlwood","03/09/1996",NA
"chullora","04/09/1996",NA
"earlwood","04/09/1996",NA
"richmond","04/09/1996",2.1
"liverpool","04/09/1996",NA
"liverpool","05/09/1996",NA
"earlwood","05/09/1996",NA
"richmond","05/09/1996",1.2
"chullora","05/09/1996",NA
"earlwood","06/09/1996",NA
"richmond","06/09/1996",1
"chullora","06/09/1996",NA
"liverpool","06/09/1996",NA
"earlwood","07/09/1996",NA
"liverpool","07/09/1996",NA
"richmond","07/09/1996",1.6
"chullora","07/09/1996",NA
"liverpool","08/09/1996",NA
"earlwood","08/09/1996",NA
"richmond","08/09/1996",2
"chullora","08/09/1996",NA
"chullora","09/09/1996",NA
"liverpool","09/09/1996",NA
"richmond","09/09/1996",1.3
"earlwood","09/09/1996",NA
"liverpool","10/09/1996",NA
"earlwood","10/09/1996",NA
"richmond","10/09/1996",2.4
"chullora","10/09/1996",NA
"earlwood","11/09/1996",NA
"liverpool","11/09/1996",NA
"richmond","11/09/1996",4.9
"chullora","11/09/1996",NA
"richmond","12/09/1996",5.3
"chullora","12/09/1996",NA
"liverpool","12/09/1996",NA
"earlwood","12/09/1996",7.2
"earlwood","13/09/1996",NA
"richmond","13/09/1996",1.2
"chullora","13/09/1996",NA
"liverpool","13/09/1996",NA
"chullora","14/09/1996",NA
"liverpool","14/09/1996",NA
"richmond","14/09/1996",1.5
"earlwood","14/09/1996",4.1
"richmond","15/09/1996",1.9
"earlwood","15/09/1996",4.4
"chullora","15/09/1996",NA
"liverpool","15/09/1996",NA
"richmond","16/09/1996",NA
"chullora","16/09/1996",NA
"earlwood","16/09/1996",6
"liverpool","16/09/1996",NA
"chullora","17/09/1996",NA
"earlwood","17/09/1996",9.6
"liverpool","17/09/1996",NA
"richmond","17/09/1996",7.8
"chullora","18/09/1996",NA
"richmond","18/09/1996",7.7
"earlwood","18/09/1996",6.6
"liverpool","18/09/1996",NA
"earlwood","19/09/1996",18.7
"liverpool","19/09/1996",NA
"richmond","19/09/1996",7.6
"chullora","19/09/1996",NA
"liverpool","20/09/1996",NA
"earlwood","20/09/1996",4.3
"richmond","20/09/1996",2.6
"chullora","20/09/1996",NA
"earlwood","21/09/1996",2.4
"liverpool","21/09/1996",NA
"chullora","21/09/1996",NA
"richmond","21/09/1996",1.3
"chullora","22/09/1996",NA
"earlwood","22/09/1996",3.1
"richmond","22/09/1996",1.8
"liverpool","22/09/1996",NA
"richmond","23/09/1996",4.4
"earlwood","23/09/1996",8.9
"chullora","23/09/1996",NA
"liverpool","23/09/1996",NA
"liverpool","24/09/1996",NA
"chullora","24/09/1996",NA
"earlwood","24/09/1996",NA
"richmond","24/09/1996",2.8
"liverpool","25/09/1996",NA
